clusters,coefficient
406,0.227641063282
588,0.441246890914
667,0.531712475881
225,0.0630047961253
641,0.50387339051
787,0.687995035356
552,0.396689359789
661,0.521987585699
247,0.0683302971879
414,0.238635597863
697,0.57564332498
55,0.0213870153731
48,0.0204149465965
15,0.0139197690342
161,0.038396434053
720,0.599350259618
45,0.0206770345073
560,0.412845162308
98,0.0267350687421
902,0.855475882837
376,0.192079248953
354,0.169494431033
978,0.967023853549
535,0.378082416582
540,0.387642453058
746,0.634085944896
456,0.282443682792
593,0.449813497743
989,0.983108149418
413,0.237416190848
836,0.757955350394
449,0.268771305822
915,0.868936640741
648,0.514154995616
692,0.565310567847
586,0.436506861307
217,0.0621352034683
289,0.110055670508
943,0.912734735959
758,0.649481641671
714,0.594191753275
390,0.202026514557
834,0.757966577618
912,0.869368645126
152,0.034013566362
939,0.907810996207
187,0.0468939815615
712,0.587301032101
342,0.157763180196
919,0.877958960758
34,0.0195537041866
996,0.994397286689
278,0.107527822587
347,0.157374981015
352,0.156693333927
833,0.750128239166
401,0.213042953915
565,0.409694638456
220,0.0628703395915
953,0.929832988808
105,0.0262017980905
810,0.713978845654
156,0.0361202323328
324,0.145145845673
727,0.608979014401
923,0.885335957443
806,0.717705020179
725,0.60773859745
696,0.572480742951
951,0.925626689854
519,0.360847127376
559,0.413549337991
601,0.458198901651
138,0.03319012056
568,0.408449819346
562,0.41187616726
117,0.0276715464732
5,0.00719540250715
417,0.241402696237
557,0.391993540472
363,0.180618632725
492,0.330923226363
223,0.0601227835742
321,0.133990844855
543,0.381352721505
507,0.338350989087
525,0.369570737125
450,0.27917713133
710,0.58543992212
75,0.0247867791913
739,0.622124037133
37,0.0194802469106
366,0.182155949152
908,0.862195849192
698,0.574956699547
177,0.0377696496496
619,0.47066690522
599,0.451455615633
418,0.242435102348
904,0.857751101644
511,0.345058812593
440,0.271841899312
997,0.995672896564
141,0.0364553496204
17,0.0157519796102
348,0.170707555669
446,0.281078671499
946,0.919554556432
168,0.0361268319558
250,0.078712814965
581,0.440803009587
35,0.0206238667149
316,0.133691950861
579,0.433190423412
840,0.761689434476
358,0.181253382637
755,0.637242169198
266,0.0915969893966
624,0.476251537152
880,0.818582567151
283,0.110853393785
434,0.263111080539
436,0.255649603815
171,0.0416236058685
680,0.548114629168
38,0.0181960285638
378,0.198203086674
882,0.824670710552
708,0.580195534824
852,0.773435870542
91,0.0235933742967
592,0.44889269499
364,0.176320308963
797,0.697535339985
496,0.33313850118
719,0.596228408883
77,0.023561418769
341,0.169016166086
89,0.0256046874035
628,0.486576821238
389,0.204554271032
232,0.0720061740547
299,0.108658507855
688,0.557217531611
907,0.858848576702
407,0.230255698651
861,0.792286298932
906,0.857328847233
542,0.38949972218
355,0.164075246647
854,0.780948511068
422,0.235948320891
359,0.182267387845
513,0.346985544728
504,0.339530792015
408,0.224049781734
243,0.0780008656063
684,0.553963114449
843,0.771009176638
143,0.0333961551107
470,0.297612521258
297,0.12336167282
454,0.288138067758
740,0.633349834008
789,0.688953912699
998,0.997356037753
850,0.772177142115
285,0.111099787092
625,0.480650266364
731,0.616606845242
424,0.246647056393
643,0.504332677815
839,0.763975310609
551,0.384240462177
837,0.763729923697
823,0.738079105094
62,0.0231499261792
702,0.580488278709
463,0.298601367899
730,0.60442543811
402,0.217808068553
609,0.463456255347
617,0.470612442491
43,0.0202409187005
439,0.272645380544
893,0.836786449306
326,0.144113086675
292,0.110083063072
234,0.0709066901123
583,0.432917227781
409,0.232774492441
547,0.3916808364
777,0.673471699958
271,0.0946862997767
574,0.425244527247
259,0.0833391785799
653,0.517414250491
4,0.00586847145013
976,0.964717114914
229,0.0633933510848
645,0.508912900027
949,0.921635560802
497,0.327409688142
866,0.800695752131
66,0.022921877274
929,0.893198032497
369,0.184384663004
157,0.039158456696
605,0.453924015629
395,0.218840796544
39,0.0193684938578
596,0.451755107916
681,0.554918705375
192,0.0501639373905
208,0.0517331582712
811,0.717652621796
176,0.0463162945981
830,0.748016397616
246,0.0770466836219
925,0.888397868578
829,0.747355088159
480,0.312420954258
334,0.1425357444
640,0.501545802684
800,0.703054743138
910,0.869827658445
222,0.059015905536
563,0.404086279706
986,0.979234874709
762,0.658226854001
699,0.57900250015
686,0.556258936297
388,0.196577883163
180,0.050768973754
110,0.0288295708871
689,0.562840260681
320,0.130870272
959,0.93941031382
855,0.783443639834
947,0.919545614029
657,0.520597742267
521,0.363665911413
644,0.506288168417
346,0.154346676202
12,0.0134855428299
544,0.382634233803
633,0.496320737252
771,0.664527611335
273,0.099494940645
914,0.869798768423
379,0.194596218122
28,0.0202759954308
703,0.578715435253
309,0.129350378161
158,0.0361861313748
207,0.0513929614785
858,0.786550125547
313,0.135128787085
707,0.584623527872
585,0.435312568293
634,0.500685828406
538,0.378541395857
29,0.0175125523826
678,0.551902356868
718,0.593882891931
969,0.953790236872
280,0.103555867198
130,0.0330415028169
631,0.487056689755
499,0.328995243559
567,0.417348749001
203,0.0507348684834
415,0.237619609492
125,0.0314853182325
803,0.704606608813
921,0.883784154587
899,0.849308834204
384,0.190338563446
219,0.0631675158877
723,0.603626384898
318,0.146531100952
128,0.0278796480967
780,0.684510834628
467,0.29772109891
832,0.750159934944
443,0.2701431606
493,0.328034755969
237,0.0740556860287
819,0.730747679377
277,0.106578046719
722,0.602787500933
734,0.615185265345
900,0.851471425386
458,0.292347402887
